DateTime,Ask,Bid,Ask Volume,Bid Volume
15.09.2023 00:00:00.151,1.06352,1.06349,0,0
15.09.2023 00:00:00.203,1.06354,1.06351,0,0
15.09.2023 00:00:00.307,1.06355,1.06352,0,0
15.09.2023 00:00:00.358,1.06354,1.0635,0,0
15.09.2023 00:00:01.173,1.06355,1.06353,0,0
15.09.2023 00:00:01.531,1.06357,1.06353,0,0
15.09.2023 00:00:01.634,1.06357,1.06354,0,0
15.09.2023 00:00:02.825,1.06358,1.06356,0,0
15.09.2023 00:00:02.928,1.06359,1.06357,0,0
15.09.2023 00:00:03.696,1.06359,1.06356,0,0
15.09.2023 00:00:03.800,1.06359,1.06355,0,0
15.09.2023 00:00:04.107,1.06359,1.06356,0,0
15.09.2023 00:00:04.210,1.06359,1.06357,0,0
15.09.2023 00:00:04.619,1.0636,1.06357,0,0
15.09.2023 00:00:04.772,1.0636,1.06358,0,0
15.09.2023 00:00:05.470,1.06358,1.06356,0,0
15.09.2023 00:00:05.573,1.06357,1.06354,0,0
15.09.2023 00:00:06.293,1.06358,1.06354,0,0
15.09.2023 00:00:06.397,1.06358,1.06355,0,0
15.09.2023 00:00:06.706,1.06357,1.06355,0,0
15.09.2023 00:00:06.808,1.06357,1.06354,0,0
15.09.2023 00:00:08.787,1.06357,1.06353,0,0
15.09.2023 00:00:08.890,1.06356,1.06353,0,0
15.09.2023 00:00:09.061,1.06357,1.06353,0,0
15.09.2023 00:00:09.436,1.06357,1.06354,0,0
15.09.2023 00:00:09.797,1.06357,1.06353,0,0
15.09.2023 00:00:10.496,1.06357,1.06354,0,0
15.09.2023 00:00:11.099,1.06356,1.06354,0,0
15.09.2023 00:00:11.203,1.06356,1.06353,0,0
15.09.2023 00:00:13.802,1.06356,1.06354,0,0
15.09.2023 00:00:14.257,1.06356,1.06353,0,0
15.09.2023 00:00:16.942,1.06354,1.06353,0,0
15.09.2023 00:00:16.996,1.06352,1.06351,0,0
15.09.2023 00:00:17.101,1.0635,1.06348,0,0
15.09.2023 00:00:17.204,1.0635,1.06347,0,0
15.09.2023 00:00:18.787,1.06348,1.06346,0,0
15.09.2023 00:00:18.839,1.06348,1.06345,0,0
15.09.2023 00:00:18.942,1.06348,1.06344,0,0
15.09.2023 00:00:19.626,1.06347,1.06343,0,0
15.09.2023 00:00:22.505,1.06347,1.06344,0,0
15.09.2023 00:00:22.558,1.06349,1.06346,0,0
15.09.2023 00:00:22.888,1.0635,1.06346,0,0
15.09.2023 00:00:22.991,1.0635,1.06347,0,0
15.09.2023 00:00:23.305,1.0635,1.06346,0,0
15.09.2023 00:00:23.407,1.0635,1.06347,0,0
15.09.2023 00:00:23.612,1.0635,1.06346,0,0
15.09.2023 00:00:23.841,1.0635,1.06347,0,0
15.09.2023 00:00:24.605,1.0635,1.06346,0,0
15.09.2023 00:00:24.708,1.0635,1.06347,0,0
15.09.2023 00:00:25.014,1.0635,1.06346,0,0
15.09.2023 00:00:25.540,1.0635,1.06347,0,0
15.09.2023 00:00:25.648,1.0635,1.06346,0,0
15.09.2023 00:00:26.533,1.0635,1.06347,0,0
15.09.2023 00:00:26.635,1.0635,1.06346,0,0
15.09.2023 00:00:26.949,1.0635,1.06347,0,0
15.09.2023 00:00:27.051,1.0635,1.06346,0,0
15.09.2023 00:00:27.154,1.06349,1.06346,0,0
15.09.2023 00:00:27.440,1.06348,1.06345,0,0
15.09.2023 00:00:27.542,1.06347,1.06344,0,0
15.09.2023 00:00:27.645,1.06348,1.06344,0,0
15.09.2023 00:00:27.748,1.06347,1.06343,0,0
15.09.2023 00:00:27.851,1.06348,1.06344,0,0
15.09.2023 00:00:28.025,1.06347,1.06343,0,0
15.09.2023 00:00:30.104,1.06348,1.06344,0,0
15.09.2023 00:00:32.737,1.06348,1.06345,0,0
15.09.2023 00:00:33.339,1.06348,1.06344,0,0
15.09.2023 00:00:34.069,1.06349,1.06346,0,0
15.09.2023 00:00:34.171,1.06349,1.06347,0,0
15.09.2023 00:00:34.376,1.06349,1.06346,0,0
15.09.2023 00:00:34.479,1.06349,1.06347,0,0
15.09.2023 00:00:34.582,1.06349,1.06346,0,0
15.09.2023 00:00:34.686,1.06349,1.06347,0,0
15.09.2023 00:00:35.145,1.06349,1.06346,0,0
15.09.2023 00:00:35.566,1.06349,1.06347,0,0
15.09.2023 00:00:35.669,1.06349,1.06346,0,0
15.09.2023 00:00:36.384,1.06349,1.06347,0,0
15.09.2023 00:00:36.590,1.06351,1.06347,0,0
15.09.2023 00:00:36.914,1.06351,1.06348,0,0
15.09.2023 00:00:36.968,1.06353,1.06349,0,0
15.09.2023 00:00:37.072,1.06357,1.06356,0,0
15.09.2023 00:00:37.124,1.06359,1.06358,0,0
15.09.2023 00:00:37.177,1.06361,1.06359,0,0
15.09.2023 00:00:37.280,1.06361,1.06358,0,0
15.09.2023 00:00:37.384,1.06361,1.06359,0,0
15.09.2023 00:00:37.487,1.06363,1.06362,0,0
15.09.2023 00:00:37.590,1.06365,1.06362,0,0
15.09.2023 00:00:37.707,1.06363,1.0636,0,0
15.09.2023 00:00:38.828,1.06362,1.0636,0,0
15.09.2023 00:00:38.931,1.06362,1.06359,0,0
15.09.2023 00:00:39.877,1.06361,1.06359,0,0
15.09.2023 00:00:40.237,1.0636,1.06357,0,0
15.09.2023 00:00:41.642,1.06355,1.06352,0,0
15.09.2023 00:00:43.224,1.06354,1.06351,0,0
15.09.2023 00:00:43.328,1.06353,1.06351,0,0
15.09.2023 00:00:43.695,1.06352,1.06349,0,0
15.09.2023 00:00:45.477,1.06351,1.06348,0,0
15.09.2023 00:00:45.946,1.0635,1.06348,0,0
15.09.2023 00:00:45.998,1.06348,1.06346,0,0
15.09.2023 00:00:46.695,1.06347,1.06344,0,0
15.09.2023 00:00:49.308,1.06346,1.06343,0,0
15.09.2023 00:00:49.412,1.06345,1.06343,0,0
15.09.2023 00:00:50.512,1.06346,1.06343,0,0
15.09.2023 00:00:50.666,1.06345,1.06342,0,0
15.09.2023 00:00:50.769,1.06345,1.06343,0,0
15.09.2023 00:00:50.872,1.06346,1.06343,0,0
15.09.2023 00:00:51.469,1.06347,1.06346,0,0
